index,original_stem,original_input_name,original_target_name,original_caption_name,numbered_conditioning_name,numbered_target_name
000023,L101_0_crop021,L101_0_crop021.png,L101_0_crop021.png,L101_0_crop021.txt,conditioning_000023.png,target_000023.png
000024,L411_0_crop001,L411_0_crop001.png,L411_0_crop001.png,L411_0_crop001.txt,conditioning_000024.png,target_000024.png
000025,L223_0_crop024,L223_0_crop024.png,L223_0_crop024.png,L223_0_crop024.txt,conditioning_000025.png,target_000025.png
000026,L3122_0_crop022,L3122_0_crop022.png,L3122_0_crop022.png,L3122_0_crop022.txt,conditioning_000026.png,target_000026.png
000027,L123_1_crop016,L123_1_crop016.png,L123_1_crop016.png,L123_1_crop016.txt,conditioning_000027.png,target_000027.png
000028,L231_2_crop025,L231_2_crop025.png,L231_2_crop025.png,L231_2_crop025.txt,conditioning_000028.png,target_000028.png
000029,L324_0_crop030,L324_0_crop030.png,L324_0_crop030.png,L324_0_crop030.txt,conditioning_000029.png,target_000029.png
000030,L101_0_crop012,L101_0_crop012.png,L101_0_crop012.png,L101_0_crop012.txt,conditioning_000030.png,target_000030.png
000031,L123_1_crop022,L123_1_crop022.png,L123_1_crop022.png,L123_1_crop022.txt,conditioning_000031.png,target_000031.png
000032,L223_1_crop014,L223_1_crop014.png,L223_1_crop014.png,L223_1_crop014.txt,conditioning_000032.png,target_000032.png
000033,L321_0_crop003,L321_0_crop003.png,L321_0_crop003.png,L321_0_crop003.txt,conditioning_000033.png,target_000033.png
000034,L303_1_crop026,L303_1_crop026.png,L303_1_crop026.png,L303_1_crop026.txt,conditioning_000034.png,target_000034.png
000035,L312_2_crop012,L312_2_crop012.png,L312_2_crop012.png,L312_2_crop012.txt,conditioning_000035.png,target_000035.png
000036,L211_2_crop007,L211_2_crop007.png,L211_2_crop007.png,L211_2_crop007.txt,conditioning_000036.png,target_000036.png
000037,L1112_1_crop003,L1112_1_crop003.png,L1112_1_crop003.png,L1112_1_crop003.txt,conditioning_000037.png,target_000037.png
000038,L3122_2_crop003,L3122_2_crop003.png,L3122_2_crop003.png,L3122_2_crop003.txt,conditioning_000038.png,target_000038.png
000039,L2312_1_crop019,L2312_1_crop019.png,L2312_1_crop019.png,L2312_1_crop019.txt,conditioning_000039.png,target_000039.png
000040,L3322_2_crop020,L3322_2_crop020.png,L3322_2_crop020.png,L3322_2_crop020.txt,conditioning_000040.png,target_000040.png
000041,L222_0_crop033,L222_0_crop033.png,L222_0_crop033.png,L222_0_crop033.txt,conditioning_000041.png,target_000041.png
000042,L424_0_crop025,L424_0_crop025.png,L424_0_crop025.png,L424_0_crop025.txt,conditioning_000042.png,target_000042.png
000043,L2b2_0_crop001,L2b2_0_crop001.png,L2b2_0_crop001.png,L2b2_0_crop001.txt,conditioning_000043.png,target_000043.png
000044,L413_1_crop018,L413_1_crop018.png,L413_1_crop018.png,L413_1_crop018.txt,conditioning_000044.png,target_000044.png
000045,L321_0_crop014,L321_0_crop014.png,L321_0_crop014.png,L321_0_crop014.txt,conditioning_000045.png,target_000045.png
000046,L212_0_crop018,L212_0_crop018.png,L212_0_crop018.png,L212_0_crop018.txt,conditioning_000046.png,target_000046.png
000047,L133_2_crop025,L133_2_crop025.png,L133_2_crop025.png,L133_2_crop025.txt,conditioning_000047.png,target_000047.png
000048,L2b1_0_crop004,L2b1_0_crop004.png,L2b1_0_crop004.png,L2b1_0_crop004.txt,conditioning_000048.png,target_000048.png
000049,L222_0_crop002,L222_0_crop002.png,L222_0_crop002.png,L222_0_crop002.txt,conditioning_000049.png,target_000049.png
000050,L312_1_crop014,L312_1_crop014.png,L312_1_crop014.png,L312_1_crop014.txt,conditioning_000050.png,target_000050.png
000051,L3122_2_crop010,L3122_2_crop010.png,L3122_2_crop010.png,L3122_2_crop010.txt,conditioning_000051.png,target_000051.png
000052,L112_2_crop015,L112_2_crop015.png,L112_2_crop015.png,L112_2_crop015.txt,conditioning_000052.png,target_000052.png
000053,L404_0_crop008,L404_0_crop008.png,L404_0_crop008.png,L404_0_crop008.txt,conditioning_000053.png,target_000053.png
000054,L302_0_crop014,L302_0_crop014.png,L302_0_crop014.png,L302_0_crop014.txt,conditioning_000054.png,target_000054.png
000055,L321_2_crop007,L321_2_crop007.png,L321_2_crop007.png,L321_2_crop007.txt,conditioning_000055.png,target_000055.png
000056,L332_1_crop013,L332_1_crop013.png,L332_1_crop013.png,L332_1_crop013.txt,conditioning_000056.png,target_000056.png
000057,L121_1_crop006,L121_1_crop006.png,L121_1_crop006.png,L121_1_crop006.txt,conditioning_000057.png,target_000057.png
000058,L201_1_crop015,L201_1_crop015.png,L201_1_crop015.png,L201_1_crop015.txt,conditioning_000058.png,target_000058.png
000059,L223_1_crop009,L223_1_crop009.png,L223_1_crop009.png,L223_1_crop009.txt,conditioning_000059.png,target_000059.png
000060,L313_0_crop007,L313_0_crop007.png,L313_0_crop007.png,L313_0_crop007.txt,conditioning_000060.png,target_000060.png
000061,L321_0_crop036,L321_0_crop036.png,L321_0_crop036.png,L321_0_crop036.txt,conditioning_000061.png,target_000061.png
000062,L412_2_crop004,L412_2_crop004.png,L412_2_crop004.png,L412_2_crop004.txt,conditioning_000062.png,target_000062.png
000063,L123_1_crop023,L123_1_crop023.png,L123_1_crop023.png,L123_1_crop023.txt,conditioning_000063.png,target_000063.png
000064,L111_0_crop031,L111_0_crop031.png,L111_0_crop031.png,L111_0_crop031.txt,conditioning_000064.png,target_000064.png
000065,L311_1_crop022,L311_1_crop022.png,L311_1_crop022.png,L311_1_crop022.txt,conditioning_000065.png,target_000065.png
000066,L123_1_crop001,L123_1_crop001.png,L123_1_crop001.png,L123_1_crop001.txt,conditioning_000066.png,target_000066.png
000067,L123_2_crop017,L123_2_crop017.png,L123_2_crop017.png,L123_2_crop017.txt,conditioning_000067.png,target_000067.png
000068,L213_2_crop012,L213_2_crop012.png,L213_2_crop012.png,L213_2_crop012.txt,conditioning_000068.png,target_000068.png
000069,L3322_0_crop023,L3322_0_crop023.png,L3322_0_crop023.png,L3322_0_crop023.txt,conditioning_000069.png,target_000069.png
000070,L331_2_crop030,L331_2_crop030.png,L331_2_crop030.png,L331_2_crop030.txt,conditioning_000070.png,target_000070.png
000071,L311_1_crop018,L311_1_crop018.png,L311_1_crop018.png,L311_1_crop018.txt,conditioning_000071.png,target_000071.png
000072,L1311_0_crop024,L1311_0_crop024.png,L1311_0_crop024.png,L1311_0_crop024.txt,conditioning_000072.png,target_000072.png
000073,L411_0_crop002,L411_0_crop002.png,L411_0_crop002.png,L411_0_crop002.txt,conditioning_000073.png,target_000073.png
000074,L312_1_crop005,L312_1_crop005.png,L312_1_crop005.png,L312_1_crop005.txt,conditioning_000074.png,target_000074.png
000075,L432_0_crop019,L432_0_crop019.png,L432_0_crop019.png,L432_0_crop019.txt,conditioning_000075.png,target_000075.png
000076,L123_1_crop028,L123_1_crop028.png,L123_1_crop028.png,L123_1_crop028.txt,conditioning_000076.png,target_000076.png
000077,L100_2_crop021,L100_2_crop021.png,L100_2_crop021.png,L100_2_crop021.txt,conditioning_000077.png,target_000077.png
000078,L232_0_crop022,L232_0_crop022.png,L232_0_crop022.png,L232_0_crop022.txt,conditioning_000078.png,target_000078.png
000079,L100_0_crop028,L100_0_crop028.png,L100_0_crop028.png,L100_0_crop028.txt,conditioning_000079.png,target_000079.png
000080,L1112_1_crop020,L1112_1_crop020.png,L1112_1_crop020.png,L1112_1_crop020.txt,conditioning_000080.png,target_000080.png
000081,L213_1_crop017,L213_1_crop017.png,L213_1_crop017.png,L213_1_crop017.txt,conditioning_000081.png,target_000081.png
000082,L1311_0_crop020,L1311_0_crop020.png,L1311_0_crop020.png,L1311_0_crop020.txt,conditioning_000082.png,target_000082.png
000083,L411_1_crop006,L411_1_crop006.png,L411_1_crop006.png,L411_1_crop006.txt,conditioning_000083.png,target_000083.png
000084,L121_0_crop011,L121_0_crop011.png,L121_0_crop011.png,L121_0_crop011.txt,conditioning_000084.png,target_000084.png
000085,L212_2_crop014,L212_2_crop014.png,L212_2_crop014.png,L212_2_crop014.txt,conditioning_000085.png,target_000085.png
000086,L313_2_crop018,L313_2_crop018.png,L313_2_crop018.png,L313_2_crop018.txt,conditioning_000086.png,target_000086.png
000087,L411_1_crop015,L411_1_crop015.png,L411_1_crop015.png,L411_1_crop015.txt,conditioning_000087.png,target_000087.png
000088,L112_0_crop002,L112_0_crop002.png,L112_0_crop002.png,L112_0_crop002.txt,conditioning_000088.png,target_000088.png
000089,L331_0_crop010,L331_0_crop010.png,L331_0_crop010.png,L331_0_crop010.txt,conditioning_000089.png,target_000089.png
000090,L324_0_crop001,L324_0_crop001.png,L324_0_crop001.png,L324_0_crop001.txt,conditioning_000090.png,target_000090.png
000091,L2312_1_crop001,L2312_1_crop001.png,L2312_1_crop001.png,L2312_1_crop001.txt,conditioning_000091.png,target_000091.png
000092,L113_1_crop012,L113_1_crop012.png,L113_1_crop012.png,L113_1_crop012.txt,conditioning_000092.png,target_000092.png
000093,L123_2_crop026,L123_2_crop026.png,L123_2_crop026.png,L123_2_crop026.txt,conditioning_000093.png,target_000093.png
000094,L231_0_crop005,L231_0_crop005.png,L231_0_crop005.png,L231_0_crop005.txt,conditioning_000094.png,target_000094.png
000095,L331_0_crop019,L331_0_crop019.png,L331_0_crop019.png,L331_0_crop019.txt,conditioning_000095.png,target_000095.png
000096,L232_2_crop001,L232_2_crop001.png,L232_2_crop001.png,L232_2_crop001.txt,conditioning_000096.png,target_000096.png
000097,L311_0_crop017,L311_0_crop017.png,L311_0_crop017.png,L311_0_crop017.txt,conditioning_000097.png,target_000097.png
000098,L201_1_crop021,L201_1_crop021.png,L201_1_crop021.png,L201_1_crop021.txt,conditioning_000098.png,target_000098.png
000099,L304_1_crop009,L304_1_crop009.png,L304_1_crop009.png,L304_1_crop009.txt,conditioning_000099.png,target_000099.png
000100,L321_2_crop008,L321_2_crop008.png,L321_2_crop008.png,L321_2_crop008.txt,conditioning_000100.png,target_000100.png
000101,L232_2_crop015,L232_2_crop015.png,L232_2_crop015.png,L232_2_crop015.txt,conditioning_000101.png,target_000101.png
000102,L1311_0_crop007,L1311_0_crop007.png,L1311_0_crop007.png,L1311_0_crop007.txt,conditioning_000102.png,target_000102.png
000103,L311_2_crop014,L311_2_crop014.png,L311_2_crop014.png,L311_2_crop014.txt,conditioning_000103.png,target_000103.png
000104,L232_0_crop017,L232_0_crop017.png,L232_0_crop017.png,L232_0_crop017.txt,conditioning_000104.png,target_000104.png
000105,L331_1_crop022,L331_1_crop022.png,L331_1_crop022.png,L331_1_crop022.txt,conditioning_000105.png,target_000105.png
000106,L321_2_crop006,L321_2_crop006.png,L321_2_crop006.png,L321_2_crop006.txt,conditioning_000106.png,target_000106.png
000107,L1112_1_crop004,L1112_1_crop004.png,L1112_1_crop004.png,L1112_1_crop004.txt,conditioning_000107.png,target_000107.png
000108,L331_0_crop027,L331_0_crop027.png,L331_0_crop027.png,L331_0_crop027.txt,conditioning_000108.png,target_000108.png
000109,L212_2_crop029,L212_2_crop029.png,L212_2_crop029.png,L212_2_crop029.txt,conditioning_000109.png,target_000109.png
000110,L411_0_crop015,L411_0_crop015.png,L411_0_crop015.png,L411_0_crop015.txt,conditioning_000110.png,target_000110.png
000111,L411_2_crop015,L411_2_crop015.png,L411_2_crop015.png,L411_2_crop015.txt,conditioning_000111.png,target_000111.png
000112,L112_2_crop018,L112_2_crop018.png,L112_2_crop018.png,L112_2_crop018.txt,conditioning_000112.png,target_000112.png
000113,L321_2_crop002,L321_2_crop002.png,L321_2_crop002.png,L321_2_crop002.txt,conditioning_000113.png,target_000113.png
000114,L2012_2_crop006,L2012_2_crop006.png,L2012_2_crop006.png,L2012_2_crop006.txt,conditioning_000114.png,target_000114.png
000115,L412_2_crop003,L412_2_crop003.png,L412_2_crop003.png,L412_2_crop003.txt,conditioning_000115.png,target_000115.png
000116,L332_2_crop015,L332_2_crop015.png,L332_2_crop015.png,L332_2_crop015.txt,conditioning_000116.png,target_000116.png
000117,L331_2_crop023,L331_2_crop023.png,L331_2_crop023.png,L331_2_crop023.txt,conditioning_000117.png,target_000117.png
000118,L311_2_crop019,L311_2_crop019.png,L311_2_crop019.png,L311_2_crop019.txt,conditioning_000118.png,target_000118.png
000119,L213_2_crop008,L213_2_crop008.png,L213_2_crop008.png,L213_2_crop008.txt,conditioning_000119.png,target_000119.png
000120,L3112_1_crop015,L3112_1_crop015.png,L3112_1_crop015.png,L3112_1_crop015.txt,conditioning_000120.png,target_000120.png
000121,L201_1_crop007,L201_1_crop007.png,L201_1_crop007.png,L201_1_crop007.txt,conditioning_000121.png,target_000121.png
000122,L2b2_0_crop012,L2b2_0_crop012.png,L2b2_0_crop012.png,L2b2_0_crop012.txt,conditioning_000122.png,target_000122.png
000123,L201_2_crop028,L201_2_crop028.png,L201_2_crop028.png,L201_2_crop028.txt,conditioning_000123.png,target_000123.png
000124,L3112_2_crop001,L3112_2_crop001.png,L3112_2_crop001.png,L3112_2_crop001.txt,conditioning_000124.png,target_000124.png
000125,L133_1_crop017,L133_1_crop017.png,L133_1_crop017.png,L133_1_crop017.txt,conditioning_000125.png,target_000125.png
000126,L1112_0_crop023,L1112_0_crop023.png,L1112_0_crop023.png,L1112_0_crop023.txt,conditioning_000126.png,target_000126.png
000127,L3122_0_crop019,L3122_0_crop019.png,L3122_0_crop019.png,L3122_0_crop019.txt,conditioning_000127.png,target_000127.png
000128,L411_2_crop020,L411_2_crop020.png,L411_2_crop020.png,L411_2_crop020.txt,conditioning_000128.png,target_000128.png
000129,L100_1_crop008,L100_1_crop008.png,L100_1_crop008.png,L100_1_crop008.txt,conditioning_000129.png,target_000129.png
000130,L411_2_crop003,L411_2_crop003.png,L411_2_crop003.png,L411_2_crop003.txt,conditioning_000130.png,target_000130.png
000131,L311_1_crop028,L311_1_crop028.png,L311_1_crop028.png,L311_1_crop028.txt,conditioning_000131.png,target_000131.png
000132,L313_0_crop024,L313_0_crop024.png,L313_0_crop024.png,L313_0_crop024.txt,conditioning_000132.png,target_000132.png
000133,L231_2_crop023,L231_2_crop023.png,L231_2_crop023.png,L231_2_crop023.txt,conditioning_000133.png,target_000133.png
000134,L2312_1_crop007,L2312_1_crop007.png,L2312_1_crop007.png,L2312_1_crop007.txt,conditioning_000134.png,target_000134.png
000135,L413_1_crop006,L413_1_crop006.png,L413_1_crop006.png,L413_1_crop006.txt,conditioning_000135.png,target_000135.png
000136,L201_0_crop016,L201_0_crop016.png,L201_0_crop016.png,L201_0_crop016.txt,conditioning_000136.png,target_000136.png
000137,L313_1_crop012,L313_1_crop012.png,L313_1_crop012.png,L313_1_crop012.txt,conditioning_000137.png,target_000137.png
000138,L3322_1_crop018,L3322_1_crop018.png,L3322_1_crop018.png,L3322_1_crop018.txt,conditioning_000138.png,target_000138.png
000139,L213_2_crop018,L213_2_crop018.png,L213_2_crop018.png,L213_2_crop018.txt,conditioning_000139.png,target_000139.png
000140,L232_0_crop003,L232_0_crop003.png,L232_0_crop003.png,L232_0_crop003.txt,conditioning_000140.png,target_000140.png
000141,L3112_0_crop005,L3112_0_crop005.png,L3112_0_crop005.png,L3112_0_crop005.txt,conditioning_000141.png,target_000141.png
000142,L2012_2_crop012,L2012_2_crop012.png,L2012_2_crop012.png,L2012_2_crop012.txt,conditioning_000142.png,target_000142.png
000143,L331_0_crop033,L331_0_crop033.png,L331_0_crop033.png,L331_0_crop033.txt,conditioning_000143.png,target_000143.png
000144,L111_1_crop024,L111_1_crop024.png,L111_1_crop024.png,L111_1_crop024.txt,conditioning_000144.png,target_000144.png
000145,L212_2_crop008,L212_2_crop008.png,L212_2_crop008.png,L212_2_crop008.txt,conditioning_000145.png,target_000145.png
000146,L313_2_crop006,L313_2_crop006.png,L313_2_crop006.png,L313_2_crop006.txt,conditioning_000146.png,target_000146.png
000147,L212_2_crop025,L212_2_crop025.png,L212_2_crop025.png,L212_2_crop025.txt,conditioning_000147.png,target_000147.png
000148,L411_1_crop016,L411_1_crop016.png,L411_1_crop016.png,L411_1_crop016.txt,conditioning_000148.png,target_000148.png
000149,L3112_0_crop021,L3112_0_crop021.png,L3112_0_crop021.png,L3112_0_crop021.txt,conditioning_000149.png,target_000149.png
000150,L313_0_crop008,L313_0_crop008.png,L313_0_crop008.png,L313_0_crop008.txt,conditioning_000150.png,target_000150.png
000151,L331_2_crop004,L331_2_crop004.png,L331_2_crop004.png,L331_2_crop004.txt,conditioning_000151.png,target_000151.png
000152,L304_2_crop007,L304_2_crop007.png,L304_2_crop007.png,L304_2_crop007.txt,conditioning_000152.png,target_000152.png
000153,L2312_2_crop012,L2312_2_crop012.png,L2312_2_crop012.png,L2312_2_crop012.txt,conditioning_000153.png,target_000153.png
000154,L3122_2_crop019,L3122_2_crop019.png,L3122_2_crop019.png,L3122_2_crop019.txt,conditioning_000154.png,target_000154.png
000155,L2312_0_crop020,L2312_0_crop020.png,L2312_0_crop020.png,L2312_0_crop020.txt,conditioning_000155.png,target_000155.png
000156,L222_2_crop023,L222_2_crop023.png,L222_2_crop023.png,L222_2_crop023.txt,conditioning_000156.png,target_000156.png
000157,L2b1_0_crop011,L2b1_0_crop011.png,L2b1_0_crop011.png,L2b1_0_crop011.txt,conditioning_000157.png,target_000157.png
000158,L411_1_crop018,L411_1_crop018.png,L411_1_crop018.png,L411_1_crop018.txt,conditioning_000158.png,target_000158.png
000159,L2312_2_crop005,L2312_2_crop005.png,L2312_2_crop005.png,L2312_2_crop005.txt,conditioning_000159.png,target_000159.png
000160,L1311_0_crop004,L1311_0_crop004.png,L1311_0_crop004.png,L1311_0_crop004.txt,conditioning_000160.png,target_000160.png
000161,L3112_2_crop002,L3112_2_crop002.png,L3112_2_crop002.png,L3112_2_crop002.txt,conditioning_000161.png,target_000161.png
000162,L212_1_crop013,L212_1_crop013.png,L212_1_crop013.png,L212_1_crop013.txt,conditioning_000162.png,target_000162.png
000163,L331_0_crop013,L331_0_crop013.png,L331_0_crop013.png,L331_0_crop013.txt,conditioning_000163.png,target_000163.png
000164,L213_2_crop020,L213_2_crop020.png,L213_2_crop020.png,L213_2_crop020.txt,conditioning_000164.png,target_000164.png
000165,L133_0_crop012,L133_0_crop012.png,L133_0_crop012.png,L133_0_crop012.txt,conditioning_000165.png,target_000165.png
000166,L432_1_crop011,L432_1_crop011.png,L432_1_crop011.png,L432_1_crop011.txt,conditioning_000166.png,target_000166.png
000167,L411_0_crop007,L411_0_crop007.png,L411_0_crop007.png,L411_0_crop007.txt,conditioning_000167.png,target_000167.png
000168,L123_0_crop012,L123_0_crop012.png,L123_0_crop012.png,L123_0_crop012.txt,conditioning_000168.png,target_000168.png
000169,L201_1_crop028,L201_1_crop028.png,L201_1_crop028.png,L201_1_crop028.txt,conditioning_000169.png,target_000169.png
000170,L133_1_crop026,L133_1_crop026.png,L133_1_crop026.png,L133_1_crop026.txt,conditioning_000170.png,target_000170.png
000171,L331_0_crop040,L331_0_crop040.png,L331_0_crop040.png,L331_0_crop040.txt,conditioning_000171.png,target_000171.png
000172,L411_2_crop017,L411_2_crop017.png,L411_2_crop017.png,L411_2_crop017.txt,conditioning_000172.png,target_000172.png
000173,L3122_1_crop008,L3122_1_crop008.png,L3122_1_crop008.png,L3122_1_crop008.txt,conditioning_000173.png,target_000173.png
000174,L212_1_crop011,L212_1_crop011.png,L212_1_crop011.png,L212_1_crop011.txt,conditioning_000174.png,target_000174.png
000175,L3322_0_crop007,L3322_0_crop007.png,L3322_0_crop007.png,L3322_0_crop007.txt,conditioning_000175.png,target_000175.png
000176,L212_0_crop036,L212_0_crop036.png,L212_0_crop036.png,L212_0_crop036.txt,conditioning_000176.png,target_000176.png
000177,L112_0_crop033,L112_0_crop033.png,L112_0_crop033.png,L112_0_crop033.txt,conditioning_000177.png,target_000177.png
000178,L313_0_crop006,L313_0_crop006.png,L313_0_crop006.png,L313_0_crop006.txt,conditioning_000178.png,target_000178.png
000179,L404_0_crop020,L404_0_crop020.png,L404_0_crop020.png,L404_0_crop020.txt,conditioning_000179.png,target_000179.png
000180,L213_0_crop027,L213_0_crop027.png,L213_0_crop027.png,L213_0_crop027.txt,conditioning_000180.png,target_000180.png
000181,L2b1_2_crop006,L2b1_2_crop006.png,L2b1_2_crop006.png,L2b1_2_crop006.txt,conditioning_000181.png,target_000181.png
000182,L212_0_crop040,L212_0_crop040.png,L212_0_crop040.png,L212_0_crop040.txt,conditioning_000182.png,target_000182.png
000183,L321_2_crop016,L321_2_crop016.png,L321_2_crop016.png,L321_2_crop016.txt,conditioning_000183.png,target_000183.png
000184,L2b2_1_crop018,L2b2_1_crop018.png,L2b2_1_crop018.png,L2b2_1_crop018.txt,conditioning_000184.png,target_000184.png
000185,L223_2_crop016,L223_2_crop016.png,L223_2_crop016.png,L223_2_crop016.txt,conditioning_000185.png,target_000185.png
000186,L303_2_crop028,L303_2_crop028.png,L303_2_crop028.png,L303_2_crop028.txt,conditioning_000186.png,target_000186.png
000187,L211_2_crop011,L211_2_crop011.png,L211_2_crop011.png,L211_2_crop011.txt,conditioning_000187.png,target_000187.png
000188,L232_1_crop004,L232_1_crop004.png,L232_1_crop004.png,L232_1_crop004.txt,conditioning_000188.png,target_000188.png
000189,L211_0_crop028,L211_0_crop028.png,L211_0_crop028.png,L211_0_crop028.txt,conditioning_000189.png,target_000189.png
000190,L113_1_crop008,L113_1_crop008.png,L113_1_crop008.png,L113_1_crop008.txt,conditioning_000190.png,target_000190.png
000191,L112_0_crop026,L112_0_crop026.png,L112_0_crop026.png,L112_0_crop026.txt,conditioning_000191.png,target_000191.png
000192,L321_2_crop022,L321_2_crop022.png,L321_2_crop022.png,L321_2_crop022.txt,conditioning_000192.png,target_000192.png
000193,L133_0_crop016,L133_0_crop016.png,L133_0_crop016.png,L133_0_crop016.txt,conditioning_000193.png,target_000193.png
000194,L4322_0_crop016,L4322_0_crop016.png,L4322_0_crop016.png,L4322_0_crop016.txt,conditioning_000194.png,target_000194.png
000195,L3112_0_crop028,L3112_0_crop028.png,L3112_0_crop028.png,L3112_0_crop028.txt,conditioning_000195.png,target_000195.png
000196,L404_1_crop014,L404_1_crop014.png,L404_1_crop014.png,L404_1_crop014.txt,conditioning_000196.png,target_000196.png
000197,L211_2_crop020,L211_2_crop020.png,L211_2_crop020.png,L211_2_crop020.txt,conditioning_000197.png,target_000197.png
000198,L231_0_crop019,L231_0_crop019.png,L231_0_crop019.png,L231_0_crop019.txt,conditioning_000198.png,target_000198.png
000199,L123_1_crop007,L123_1_crop007.png,L123_1_crop007.png,L123_1_crop007.txt,conditioning_000199.png,target_000199.png
000200,L2b2_0_crop009,L2b2_0_crop009.png,L2b2_0_crop009.png,L2b2_0_crop009.txt,conditioning_000200.png,target_000200.png
000201,L3112_2_crop018,L3112_2_crop018.png,L3112_2_crop018.png,L3112_2_crop018.txt,conditioning_000201.png,target_000201.png
000202,L3122_0_crop007,L3122_0_crop007.png,L3122_0_crop007.png,L3122_0_crop007.txt,conditioning_000202.png,target_000202.png
000203,L231_1_crop012,L231_1_crop012.png,L231_1_crop012.png,L231_1_crop012.txt,conditioning_000203.png,target_000203.png
000204,L424_0_crop015,L424_0_crop015.png,L424_0_crop015.png,L424_0_crop015.txt,conditioning_000204.png,target_000204.png
000205,L231_1_crop016,L231_1_crop016.png,L231_1_crop016.png,L231_1_crop016.txt,conditioning_000205.png,target_000205.png
000206,L111_0_crop012,L111_0_crop012.png,L111_0_crop012.png,L111_0_crop012.txt,conditioning_000206.png,target_000206.png
000207,L2b1_0_crop028,L2b1_0_crop028.png,L2b1_0_crop028.png,L2b1_0_crop028.txt,conditioning_000207.png,target_000207.png
000208,L3322_0_crop025,L3322_0_crop025.png,L3322_0_crop025.png,L3322_0_crop025.txt,conditioning_000208.png,target_000208.png
000209,L312_0_crop018,L312_0_crop018.png,L312_0_crop018.png,L312_0_crop018.txt,conditioning_000209.png,target_000209.png
000210,L123_0_crop039,L123_0_crop039.png,L123_0_crop039.png,L123_0_crop039.txt,conditioning_000210.png,target_000210.png
000211,L121_0_crop006,L121_0_crop006.png,L121_0_crop006.png,L121_0_crop006.txt,conditioning_000211.png,target_000211.png
000212,L232_0_crop028,L232_0_crop028.png,L232_0_crop028.png,L232_0_crop028.txt,conditioning_000212.png,target_000212.png
000213,L424_0_crop008,L424_0_crop008.png,L424_0_crop008.png,L424_0_crop008.txt,conditioning_000213.png,target_000213.png
000214,L121_0_crop007,L121_0_crop007.png,L121_0_crop007.png,L121_0_crop007.txt,conditioning_000214.png,target_000214.png
000215,L4322_0_crop001,L4322_0_crop001.png,L4322_0_crop001.png,L4322_0_crop001.txt,conditioning_000215.png,target_000215.png
000216,L112_0_crop012,L112_0_crop012.png,L112_0_crop012.png,L112_0_crop012.txt,conditioning_000216.png,target_000216.png
000217,L303_1_crop028,L303_1_crop028.png,L303_1_crop028.png,L303_1_crop028.txt,conditioning_000217.png,target_000217.png
